time,type,local time,latitude,longitude
20131022_00, EX,20131022_00,31.9,145.9
20131019_06, DB,20131019_06,9.2,163.3
20131019_12, DB,20131019_12,9.9,163.2
20131019_18, DB,20131019_18,10.4,162.7
20131020_00, DB,20131020_00,10.7,162.1
20131020_06, DB,20131020_06,10.8,161.4
20131020_12, TD,20131020_12,10.5,160.9
20131020_18, TS,20131020_18,10.9,160.8
20131021_00, TS,20131021_00,11.6,160.9
20131021_06, TS,20131021_06,12.2,160.6
20131021_12, TS,20131021_12,13.1,160.0
20131021_12, TS,20131021_12,13.1,160.0
20131021_18, TY,20131021_18,13.9,159.1
20131021_18, TY,20131021_18,13.9,159.1
20131022_00, TY,20131022_00,15.1,158.1
20131022_00, TY,20131022_00,15.1,158.1
20131022_00, TY,20131022_00,15.1,158.1
20131022_06, TY,20131022_06,16.3,156.7
20131022_06, TY,20131022_06,16.3,156.7
20131022_06, TY,20131022_06,16.3,156.7
20131022_12, TY,20131022_12,17.2,155.3
20131022_12, TY,20131022_12,17.2,155.3
20131022_12, TY,20131022_12,17.2,155.3
20131022_18, ST,20131022_18,18.1,153.8
20131022_18, ST,20131022_18,18.1,153.8
20131022_18, ST,20131022_18,18.1,153.8
20131023_00, ST,20131023_00,18.6,152.2
20131023_00, ST,20131023_00,18.6,152.2
20131023_00, ST,20131023_00,18.6,152.2
20131023_06, ST,20131023_06,19.0,150.9
20131023_06, ST,20131023_06,19.0,150.9
20131023_06, ST,20131023_06,19.0,150.9
20131023_12, ST,20131023_12,19.4,149.8
20131023_12, ST,20131023_12,19.4,149.8
20131023_12, ST,20131023_12,19.4,149.8
20131023_18, ST,20131023_18,19.9,148.7
20131023_18, ST,20131023_18,19.9,148.7
20131023_18, ST,20131023_18,19.9,148.7
20131024_00, ST,20131024_00,20.6,147.6
20131024_00, ST,20131024_00,20.6,147.6
20131024_00, ST,20131024_00,20.6,147.6
20131024_06, ST,20131024_06,21.4,146.5
20131024_06, ST,20131024_06,21.4,146.5
20131024_06, ST,20131024_06,21.4,146.5
20131024_12, TY,20131024_12,22.4,145.6
20131024_12, TY,20131024_12,22.4,145.6
20131024_12, TY,20131024_12,22.4,145.6
20131024_18, TY,20131024_18,23.6,144.7
20131024_18, TY,20131024_18,23.6,144.7
20131024_18, TY,20131024_18,23.6,144.7
